schema,function_name,signature,sha256_of_definition
public,couranr_mark_delivery_ready,"p_request_id uuid, p_business_account_id uuid, p_expected_version integer, p_actor_user_id uuid",d2cf8c08a68e31bba635546d06a16632064afeae5cf64263f0df37ba4a0f633f
public,couranr_mark_delivery_unavailable,"p_request_id uuid, p_business_account_id uuid, p_expected_version integer, p_actor_user_id uuid",d2606aa9035f1666e884a025574d0e979044f36b885c95369a549dc6864190da
public,couranr_mark_driver_available,"p_driver_id uuid, p_expected_version integer, p_actor_user_id uuid",eb478074ddc4f21b0ffde24c6242e2108144b17f72000f0349912694706bbbb8
public,couranr_mark_driver_unavailable,"p_driver_id uuid, p_expected_version integer, p_actor_user_id uuid",68191cb201aa727f49f805b5f22b883a89ee19a0242fa8413a3d8598837ddba4
public,couranr_mark_vehicle_available,"p_vehicle_id uuid, p_expected_version integer, p_actor_user_id uuid",739dcd453dc50d7173ec7d852b15e6d2884179263e793518106707731a285091
public,couranr_mark_vehicle_unavailable,"p_vehicle_id uuid, p_expected_version integer, p_actor_user_id uuid",9ab60bab45ed309e9fc210fb216949124f383b9bac6cf445fd43dadeeb10c665
public,couranr_next_operating_period_start,"p_at timestamp with time zone",154e36e3f925339f399c3d240858d5a023035ecea857462b5d7914c957b0c024
public,couranr_operating_minutes_between,"p_start timestamp with time zone, p_end timestamp with time zone",68c05965903a4213635454ab9356fccf0c9ce7ae75b6cfdc2135b0c0a39479a4
public,couranr_operating_timezone,"",8fb8dc05d4c3a0985fbe49dd492bd5181610195dd0f4101678d71c530febd9f6
public,couranr_preset_body_is_clean,"p_body jsonb",2342ac101bfa7c23746b1383244fad61071eff815dcc5b92d01df5820ccc145d
public,couranr_reactivate_member,"p_business_account_id uuid, p_actor_user_id uuid, p_member_id uuid",beb8df0691cebccbf5744670d40467a40d19cb2567ab354ad5f52589a3d413cb
public,couranr_record_test_delivery,"p_business_account_id uuid, p_actor_user_id uuid, p_request_id uuid",26df89eba5664594b9660e55afed3bc7daa3994a3868a5cfc8c8aa29c608f3c8
public,couranr_redeem_delivery_access_token,"p_token_hash text",4c4a0deac87296ae5a39b60d26cd89b218b11d0a1d734a4bd0c9d843c8c8f711
public,couranr_redeem_help_token,"p_token_hash text",5d88348979ccd547b5821d9a8b8f8d8f446027f0a7ce4a6661da0a05f1d2cb8e
public,couranr_redeem_payment_access_token,"p_token_hash text",e84c89ab8b089007a22bd34270480886c00d5cc8e20492606623baae7afdefdf
public,couranr_release_assignment_resources,"p_driver_id uuid, p_vehicle_id uuid",1e151e3be7be4aef50fd3cc58da1da872afe2b77a3c16232619e64104ddbfb12
public,couranr_replace_delivery_assignment,"p_delivery_id uuid, p_expected_assignment_version integer, p_actor_user_id uuid, p_driver_id uuid, p_vehicle_id uuid, p_reason text, p_idempotency_key text",8737d7c8dab088da52a84d670be5ff09a5819731fae43610c10c921489ee9251
public,couranr_report_pickup_discrepancy,"p_delivery_id uuid, p_actor_user_id uuid, p_reason text, p_notes text",e02675a20e8b70cc74a065999e2f0110840cb6c2033c098dd1c9bb9776ae7f06
public,couranr_request_activation,"p_business_account_id uuid, p_actor_user_id uuid, p_required_acks jsonb",b99f76412c24c2520f70b5b5c1ae676cac82937bf21d3fd6b9c60460eb7b2624
public,couranr_require_active_member,"p_business_account_id uuid, p_actor_user_id uuid",81af762b03bb910981aa015c2c7b7c13fa08a233ecf7167f8f94ac9ce124cfb4
public,couranr_require_preset_manager,"p_business_account_id uuid, p_actor_user_id uuid",255add61d876c1328e261c1483d098938129109cab4d209b3ab7e3e3149ebb72
public,couranr_requote_delivery_request,"p_request_id uuid, p_business_account_id uuid, p_expected_version integer, p_actor_user_id uuid, p_pricing_policy_version text, p_delivery_subtotal_cents integer, p_included_loaded_miles integer, p_billable_loaded_miles numeric, p_quote_line_items jsonb, p_requote_reason text",5e9eceaf9e5ef5a8e95cf3c07b56b0d3b7ededa15764ff1a71b92a13d9fe6492
public,couranr_resolve_pickup_discrepancy_safe_to_continue,"p_discrepancy_id uuid, p_expected_version integer, p_actor_user_id uuid, p_note text",25c4c324dc907238c88e67f58642597171e6eee880bbf8b0b9ecae275e2cebe6
public,couranr_resolve_terminal_capture_failure,"p_obligation_id uuid, p_provider_event_id text, p_payment_intent_id text, p_intent_status text, p_amount integer, p_currency text, p_failure_code text",ab7c9e1465e23dde93ecce129ff3bc6a98e9b6d105f8fa3d75b645de6fa770b6
public,couranr_revoke_delivery_access_tokens,"p_request_id uuid, p_reason text",005fb35f873f9a60c21eff92817888195f3331ea0ab292fac9694d79e8a60d7b
public,couranr_revoke_payment_access_tokens,"p_request_id uuid, p_reason text",5963fe6ce1dcee98cdcf70fb8e793ebfddc337cec73557fe19a6fa9e1cffa580
public,couranr_save_website_tool_config,"p_business_account_id uuid, p_actor_user_id uuid, p_status text, p_embed_label text, p_embed_color text, p_embed_width integer, p_embed_variant text",d67936a34adc76e961d770d5e4f6598890015468433be6c3f531099aeb3b4855
public,couranr_set_business_categories,"p_business_account_id uuid, p_actor_user_id uuid, p_primary text, p_secondary text[], p_registry_version text",a8fde8feab8e699ee4308c57c996f08e8d7bd7366e8a910944a7e3e602648526
public,couranr_set_customer_archived,"p_business_account_id uuid, p_actor_user_id uuid, p_customer_id uuid, p_archived boolean",6fdf8800b85c7071cacc5dbf91f31f6cb4054fc8935b8807238cf0a2ed333307
public,couranr_set_merchant_preset_archived,"p_business_account_id uuid, p_actor_user_id uuid, p_preset_id uuid, p_archived boolean",af167fdd93aaf58d8c45b93b978428200c93c6eab42a4de5f6449bde8a51b1ff
public,couranr_start_route_to_dropoff,"p_delivery_id uuid, p_expected_version integer, p_actor_user_id uuid",e672e72a898f036405ded46c1fa90537e6e41645efb047bec8dbec663777436b
public,couranr_start_route_to_pickup,"p_delivery_id uuid, p_expected_version integer, p_actor_user_id uuid",482d6cb5a27a57ef26802f375c1900dae98a309450a8db52bd64c30035649261
public,couranr_submit_delivery_request,"p_request_id uuid, p_business_account_id uuid, p_expected_version integer, p_actor_user_id uuid, p_quote_status text, p_pricing_policy_version text, p_delivery_subtotal_cents integer, p_included_loaded_miles integer, p_billable_loaded_miles numeric, p_quote_line_items jsonb, p_review_reasons jsonb, p_merchant_acknowledged boolean",6ab2d43a71aa818d56c6fb1389c21e3f6484ac39de7d9318ca60cc548fa08749
public,couranr_suspend_driver,"p_driver_id uuid, p_expected_version integer, p_actor_user_id uuid",01ed986a5cf8f86d65073f849ffe409dd981b3ffce4307e5c980b1db43211514
public,couranr_text_array_is_distinct,"p_values text[]",10cda17f73b748b7e1f5901d1f783de198ca5291c9cef3d2b4beb6f8367497e6
public,couranr_unassign_delivery_before_pickup,"p_delivery_id uuid, p_expected_version integer, p_actor_user_id uuid, p_reason text",598162657ee7b4ac8dff3b90f1482f4bd47cd0010d72711f896113ba16a3fca2
public,couranr_update_dispatch_vehicle,"p_vehicle_id uuid, p_expected_version integer, p_actor_user_id uuid, p_name text, p_payload_capacity_lb integer, p_active boolean, p_availability_state text",d688b45a4891130a56f8ffe9cbdc0fbf956c841bd7fbd2f0fe62822e1a85382f
public,couranr_update_merchant_customer,"p_business_account_id uuid, p_actor_user_id uuid, p_customer_id uuid, p_expected_version integer, p_display_name text, p_email text, p_phone text, p_normalized_email text, p_normalized_phone text, p_payer_preference text, p_notes text",4229a46d6252392e50ab52a14ac292237a22c2f603b850b7cdbb22ddfeb43cda
public,couranr_update_merchant_preset,"p_business_account_id uuid, p_actor_user_id uuid, p_preset_id uuid, p_name text, p_body jsonb, p_expected_version integer",3fdb2804e4c45c2c27cb2c2f8d97cdeef4bdb16ddae9b2f70a42c9cd253a9184
public,couranr_update_workspace_profile,"p_business_account_id uuid, p_actor_user_id uuid, p_name text, p_business_category text, p_pickup_address jsonb, p_contact_phone text, p_payer_default text",ff491133cb270bd3345361beb2ead5a7fafb714c158fad0747167a7de12de62d
public,couranr_vehicle_class_rank,"p_class text",df29b118ef5d8c7b3fcb69cda5598a7b6e3c54d97ec1e155986853775d4f0f82
public,couranr_vehicle_incompatibility,"p_vehicle_id uuid, p_driver_id uuid, p_requirement jsonb",2a6e2f4c764016923ec3fac029f561147f8eecd0f2437d9f9d13535868d4e77b
public,couranr_verify_activation_contact,"p_business_account_id uuid, p_actor_user_id uuid",8d4766f02313719f5c90a975e8614ad92b8ea89513a676e8fe002917e31275bc
public,couranr_verify_handoff_code,"p_delivery_id uuid, p_code_kind text, p_code_digest text, p_actor_user_id uuid",e02eca04ec2c322dc26c7429c53ea92a9cfcf97b348fdf0cee701896797c89fd
