object_type,schema,object_name,signature_or_table,production_exists,notes
index,public,couranr_pat_request_idx,couranr_payment_access_tokens,yes,unique=f
index,public,couranr_payment_access_tokens_pkey,couranr_payment_access_tokens,yes,unique=t
index,public,couranr_payment_events_pkey,couranr_payment_events,yes,unique=t
index,public,couranr_payment_obligations_pkey,couranr_payment_obligations,yes,unique=t
index,public,couranr_pd_delivery_idx,couranr_pickup_discrepancies,yes,unique=f
index,public,couranr_pd_one_open_per_delivery,couranr_pickup_discrepancies,yes,unique=t
index,public,couranr_pe_obligation_created_idx,couranr_payment_events,yes,unique=f
index,public,couranr_pe_provider_event_uniq,couranr_payment_events,yes,unique=t
index,public,couranr_pickup_discrepancies_pkey,couranr_pickup_discrepancies,yes,unique=t
index,public,couranr_po_business_created_idx,couranr_payment_obligations,yes,unique=f
index,public,couranr_po_idempotency_uniq,couranr_payment_obligations,yes,unique=t
index,public,couranr_po_intent_uniq,couranr_payment_obligations,yes,unique=t
index,public,couranr_po_one_live_per_request,couranr_payment_obligations,yes,unique=t
index,public,couranr_po_state_idx,couranr_payment_obligations,yes,unique=f
index,public,couranr_proof_uploads_pkey,couranr_proof_uploads,yes,unique=t
index,public,couranr_pu_delivery_idx,couranr_proof_uploads,yes,unique=f
index,public,couranr_pu_nonce_uniq,couranr_proof_uploads,yes,unique=t
index,public,couranr_pu_object_path_uniq,couranr_proof_uploads,yes,unique=t
index,public,couranr_service_plans_pkey,couranr_service_plans,yes,unique=t
index,public,couranr_sp_business_idx,couranr_service_plans,yes,unique=f
index,public,couranr_sp_one_live_per_request,couranr_service_plans,yes,unique=t
index,public,couranr_te_business_idx,couranr_team_events,yes,unique=f
index,public,couranr_team_events_pkey,couranr_team_events,yes,unique=t
index,public,couranr_website_tool_configs_pkey,couranr_website_tool_configs,yes,unique=t
index,public,couranr_workspace_activations_pkey,couranr_workspace_activations,yes,unique=t
table,public,couranr_activation_acknowledgements,,yes,relrowsecurity=t
table,public,couranr_activation_events,,yes,relrowsecurity=t
table,public,couranr_assignment_events,,yes,relrowsecurity=t
table,public,couranr_category_presets,,yes,relrowsecurity=t
table,public,couranr_conversation_events,,yes,relrowsecurity=t
table,public,couranr_conversation_messages,,yes,relrowsecurity=t
table,public,couranr_conversation_participants,,yes,relrowsecurity=t
table,public,couranr_conversations,,yes,relrowsecurity=t
table,public,couranr_deliveries,,yes,relrowsecurity=t
table,public,couranr_delivery_access_tokens,,yes,relrowsecurity=t
table,public,couranr_delivery_assignments,,yes,relrowsecurity=t
table,public,couranr_delivery_events,,yes,relrowsecurity=t
